metric_name,domain,label,description,metric_type,source_file,approved_status,team_ownership
mom_net_revenue_change,Revenue,MoM Net Revenue Change,Month-over-month absolute change in net revenue (derived offset_window=1 month). Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_gross_revenue_pct_change,Revenue,WoW Gross Revenue % Change,Week-over-week percentage change in gross revenue; null when prior week is zero or missing. Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_net_revenue_pct_change,Revenue,WoW Net Revenue % Change,Week-over-week percentage change in net revenue; null when prior week is zero or missing. Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
mom_gross_revenue_pct_change,Revenue,MoM Gross Revenue % Change,Month-over-month percentage change in gross revenue; null when prior month is zero or missing. New via collapse of model_mom_gross_revenue_pct_change (unprefixed form did not previously exist).,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
mom_net_revenue_pct_change,Revenue,MoM Net Revenue % Change,Month-over-month percentage change in net revenue; null when prior month is zero or missing. Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_customer_change,Revenue,WoW Customer Change,Week-over-week absolute change in unique customer count (derived offset_window=1 week). Renamed from model_wow_customer_change (unprefixed).,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
mom_customer_change,Revenue,MoM Customer Change,Month-over-month absolute change in unique customer count (derived offset_window=1 month). Renamed from model_mom_customer_change (unprefixed).,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
total_tokens_consumed,Token usage,Total Tokens Consumed,Total tokens consumed across all models and customers.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
total_api_requests,Token usage,Total API Requests,Total API requests across all models and customers.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
total_input_tokens,Token usage,Total Input Tokens,Total input (prompt) tokens consumed.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
total_output_tokens,Token usage,Total Output Tokens,Total output (completion) tokens consumed.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
error_rate,Token usage,Error Rate,Error count as a percentage of total requests.,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
tokens_per_request,Token usage,Tokens Per Request,Average number of tokens per request (total_tokens / request_count).,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
mean_rpm,Token usage,Mean RPM,Mean requests per minute; computed from the minute-grain fact.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
peak_rpm,Token usage,Peak RPM,Peak requests per minute; requires minute grain (GATE A ruling 2).,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
peak_tpm,Token usage,Peak TPM,Peak tokens per minute; requires minute grain (GATE A ruling 2).,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
total_possible_minutes,Token usage,Total Possible Minutes,Total possible minutes in the queried period.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
active_minute_pct,Token usage,Active Minute %,Percentage of minutes with active usage.,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
p95_rpm,Token usage,P95 RPM,95th percentile requests per minute during active minutes; requires minute grain.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
p95_tpm,Token usage,P95 TPM,95th percentile tokens per minute during active minutes; requires minute grain.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_total_tokens,Token usage,WoW Total Tokens Change,Week-over-week absolute change in total tokens (derived offset_window=1 week). Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_total_requests,Token usage,WoW Total Requests Change,Week-over-week absolute change in total requests (derived offset_window=1 week). Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_active_minutes,Token usage,WoW Active Minutes Change,Week-over-week absolute change in active minutes (derived offset_window=1 week).,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_mean_rpm,Token usage,WoW Mean RPM Change,Week-over-week absolute change in mean RPM (derived offset_window=1 week). Renamed from model_wow_mean_rpm (unprefixed).,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_mean_tpm,Token usage,WoW Mean TPM Change,Week-over-week absolute change in mean TPM (derived offset_window=1 week). Renamed from model_wow_mean_tpm (unprefixed).,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
peak_to_mean_rpm,Token usage,Peak-to-Mean RPM,Ratio of peak RPM to mean RPM. Renamed from model_peak_to_mean_rpm (unprefixed).,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
peak_to_mean_tpm,Token usage,Peak-to-Mean TPM,Ratio of peak TPM to mean TPM. Renamed from model_peak_to_mean_tpm (unprefixed).,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
effective_requests_per_minute,Quota,Effective Requests Per Minute,Effective requests per minute limit in effect for the week (weekly state; fct_quota_weekly).,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
effective_tokens_per_minute,Quota,Effective Tokens Per Minute,Effective tokens per minute limit in effect for the week (weekly state).,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
effective_tpd,Quota,Effective TPD,Effective tokens per day limit in effect for the week (weekly state).,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
peak_rpm_utilization,Quota,Peak RPM Utilization,Peak RPM as a percentage of the effective RPM limit.,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
peak_tpm_utilization,Quota,Peak TPM Utilization,Peak TPM as a percentage of the effective TPM limit.,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
customers_with_pending_requests,Quota,Customers With Pending Requests,Count of account-model-region-week combinations with pending quota requests.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
actual_total_requests,Quota,Actual Total Requests,Total actual API requests recorded.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
actual_total_tokens,Quota,Actual Total Tokens,Total actual tokens consumed.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
actual_input_tokens,Quota,Actual Input Tokens,Total actual input (prompt) tokens consumed.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
actual_output_tokens,Quota,Actual Output Tokens,Total actual output (completion) tokens consumed.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
actual_peak_rpm,Quota,Actual Peak RPM,Actual peak requests per minute in the week.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
actual_peak_tpm,Quota,Actual Peak TPM,Actual peak tokens per minute in the week.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
pending_requested_rpm,Quota,Pending Requested RPM,Highest RPM requested across all pending requests active this week.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
pending_requested_tpm,Quota,Pending Requested TPM,Highest TPM requested across all pending requests active this week.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
pending_requested_tpd,Quota,Pending Requested TPD,Highest TPD requested across all pending requests active this week.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
